title,author,publisher,pub_date,price,score,image_src,image_name
파이썬과 자연어 처리,니쉬트 조쉬,에이콘출판사,2017년 07월,"25,200",,https://image.yes24.com/goods/43863038/L,43863038
실전 예제로 배우는 GAN,조시 칼린,위키북스,2019년 07월,"22,500",,https://image.yes24.com/goods/76640111/L,76640111
그림으로 배우는 파이썬,다카하시 마나,영진닷컴,2021년 11월,"16,200",10,https://image.yes24.com/goods/104405577/L,104405577
퀀트 전략을 위한 인공지능 트레이딩,김태헌,한빛미디어,2020년 08월,"25,200",9.3,https://image.yes24.com/goods/91326289/L,91326289
처음 배우는 플라스크 웹 프로그래밍,윤정현,한빛미디어,2021년 08월,"17,820",9.1,https://image.yes24.com/goods/103346815/L,103346815
주머니 속의 머신러닝,맷 해리슨,제이펍,2021년 04월,"13,500",9.6,https://image.yes24.com/goods/99478990/L,99478990
파이썬으로 챗봇 만들기,Sumit Raj,영진닷컴,2020년 11월,"18,000",8,https://image.yes24.com/goods/94871439/L,94871439
러닝 파이썬 상편,마크 루츠,제이펍,2018년 03월,"34,200",,https://image.yes24.com/goods/59286493/L,59286493
파이썬 Jupyter Notebook 실전 입문,이케우치 타카히로,터닝포인트,2018년 06월,"22,500",9,https://image.yes24.com/goods/61262127/L,61262127
머신 러닝과 통계,프라탑 단게티,에이콘출판사,2018년 02월,"31,500",,https://image.yes24.com/goods/58774521/L,58774521
파이썬 해킹 프로그래밍,저스틴 지이츠,에이콘출판사,2010년 01월,"22,500",,https://image.yes24.com/goods/3648481/L,3648481
생활코딩 머신러닝 실습편 with 파이썬 텐서플로,이숙번,위키북스,2021년 12월,"21,600",,https://image.yes24.com/goods/105373169/L,105373169
깐깐하게 배우는 파이썬 3,제드 쇼,인사이트(insight),2019년 01월,"19,800",5.5,https://image.yes24.com/goods/68834616/L,68834616
직장인을 위한 데이터 분석 실무 with 파이썬 (개정판),이형석,위키북스,2020년 11월,"25,200",,https://image.yes24.com/goods/94973144/L,94973144
파이썬 프로그래밍 개론,데이비드 슈나이더,에이콘출판사,2016년 11월,"31,500",,https://image.yes24.com/goods/33503382/L,33503382
클린 파이썬,수닐 카필,에이콘출판사,2021년 04월,"19,800",,https://image.yes24.com/goods/99099110/L,99099110
금융 데이터 분석을 위한 파이썬 판다스,유대표,파이스탁,2022년 03월,"27,000",,https://image.yes24.com/goods/107631660/L,107631660
김기현의 자연어 처리 딥러닝 캠프 파이토치 편,김기현,한빛미디어,2019년 07월,"34,200",7,https://image.yes24.com/goods/74802622/L,74802622
파이썬 프로그래밍,John V. Guttag,홍릉과학출판사,2019년 02월,"29,000",,https://image.yes24.com/goods/70374986/L,70374986
파이썬으로 배우는 금융 분석 2/e,유씽 얀,에이콘출판사,2017년 11월,"34,200",,https://image.yes24.com/goods/56882179/L,56882179
함수형 파이썬 프로그래밍,오현석,에이콘출판사,2017년 02월,"27,000",,https://image.yes24.com/goods/35868948/L,35868948
"파이썬 쉽게, 더 쉽게",츠지 신고,제이펍,2018년 12월,"23,400",,https://image.yes24.com/goods/67439014/L,67439014
파이썬 동시성 프로그래밍,엘리엇 포브스,에이콘출판사,2018년 09월,"27,000",,https://image.yes24.com/goods/64410217/L,64410217
파이썬을 활용한 비지도 학습,벤자민 존스턴,에이콘출판사,2019년 11월,"31,500",,https://image.yes24.com/goods/83546287/L,83546287
스파르타! 파이썬 포렌식,쳇 호스머,비제이퍼블릭(BJ퍼블릭),2015년 04월,"25,200",10,https://image.yes24.com/goods/17406828/L,17406828
